,Place,Region,Country,SchoolName,Ownership,Latitude,Longitude,WindSpeed,WindDegree,WindDirection,Gust,Pressure,Precipitation,Temperature,Visibility,Humidity,Cloud,UV
12566,Sumbawanga,Rukwa,Tanzania,CHOMBE,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12567,Sumbawanga,Rukwa,Tanzania,IGONDA,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12568,Sumbawanga,Rukwa,Tanzania,IKOZI,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12569,Sumbawanga,Rukwa,Tanzania,ILAMBO,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12570,Muze,Rukwa,Tanzania,ILANGA,Government,-7.68,31.55,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12571,Sumbawanga,Rukwa,Tanzania,ILEMBA,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12572,Mpui,Rukwa,Tanzania,ILEMBO,Government,-8.35,31.83,7.4,62,ENE,8.5,1018.0,0.0,24.3,6.0,44,5,7.0
12573,Kaengesa,Rukwa,Tanzania,ITELA,Government,-8.18,31.67,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12574,Kapenta,Rukwa,Tanzania,IWELYAMVULA,Government,-8.27,32.07,7.4,62,ENE,8.5,1018.0,0.0,24.3,6.0,44,5,7.0
12575,Sumbawanga,Rukwa,Tanzania,JANGWANI,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12576,Kaengesa,Rukwa,Tanzania,KAENGESA,Government,-8.18,31.67,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12577,Sumbawanga,Rukwa,Tanzania,KALAMBAZITE,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12578,Sumbawanga,Rukwa,Tanzania,KALOLE,Government,-7.97,31.62,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
12579,Kalumbaleza,Rukwa,Tanzania,KALUMBALEZA,Government,-7.6,31.53,9.2,64,ENE,10.6,1018.0,0.0,20.9,6.0,47,4,7.0
