YEAR,MO,DY,Earth Skin Temperature ©,Temperature at 2 Meters Range (C),All Sky Surface Longwave Downward Irradiance,Precipitation Corrected (mm/day) ,Specific Humidity at 2 Meters (g/kg) ,Surface Pressure (kPa),Wind Speed at 10 Meters Range (m/s) ,Wind Speed at 50 Meters Range (m/s) ,Heating Degree Days Below 0 C (Degree C-d) ,Heating Degree Days Below 18 C (Degree C-d) ,Heating Degree Days Below 18.3 C (Degree C-d) ,All Sky Surface Shortwave Downward Irradiance (W/m^2) ,All Sky Surface Shortwave Diffuse Irradiance (W/m^2) ,All Sky Surface PAR Total (W/m^2) ,All Sky Surface UV Index
2021,1,28,23.42,11.28,368.16,2.6,14.65,89.29,2.91,4.45,0,0,0,320.56,56.84,148.8,3.21
2021,1,29,22.67,8.33,381.39,8.8,15.2,89.37,1.23,3.7,0,0,0,267.9,129.53,124.15,2.75
2021,1,30,21.4,6.09,388.51,10.76,15.5,89.37,2.12,3.95,0,0,0,214.59,128.08,100.44,2.24
2021,1,31,22.42,8.46,382.67,11.61,15.38,89.24,4.16,4.89,0,0,0,282.71,99.05,132.73,3.05
2021,2,1,22.89,10.13,368.16,3.09,14.89,89.39,2.92,4.32,0,0,0,293.25,142.17,135.38,3.12
2021,2,2,22.94,11.02,361.11,0.33,14.47,89.51,2.23,4.05,0,0,0,298.27,107.71,137.34,3.25
2021,2,3,21.86,10.94,367.39,0.72,13.85,89.47,3.41,3.77,0,0,0,307.87,72.48,142.91,3.27
2021,2,4,22.64,12.59,384.65,1.43,14.1,89.4,2.26,3.93,0,0,0,280.68,98.69,131.06,3.2
2021,2,5,21.94,7.58,386.24,1.72,14.77,89.38,3.05,4.69,0,0,0,281.84,86.92,131.65,3.34
2021,2,6,22.7,9.09,392.57,3.9,14.95,89.27,2.18,4.07,0,0,0,266.14,109.33,124.4,2.98
2021,2,7,22.23,8.59,395.66,75.79,15.81,89.12,1.41,3.14,0,0,0,266.42,117.77,125.8,3.12
2021,2,8,22.31,6.9,391.63,5.74,15.5,89.19,3.91,4.31,0,0,0,225.11,117.46,106.97,2.74
2021,2,9,21.64,5.93,393.61,11.91,15.81,89.27,3.26,3.76,0,0,0,163.37,115.59,77.95,1.94
2021,2,10,22.03,7.27,399.94,3.71,16.11,89.2,2.99,3.09,0,0,0,163.7,120.61,77.56,1.98
2021,2,11,20.56,4.93,397.25,19.75,15.93,89.21,2.23,2.26,0,0,0,111.91,84.3,54.51,1.37
2021,2,12,21.18,7.3,399.96,6.25,15.5,89.21,2.57,2.62,0,0,0,139.67,101.77,66.13,1.61
2021,2,13,21.33,6.77,395.21,6.76,15.69,89.29,0.96,1.98,0,0,0,167.89,106.36,77.98,1.8
2021,2,14,22.37,9.13,389.76,0.4,15.32,89.31,1.66,1.82,0,0,0,176.71,101.7,83.07,1.91
2021,2,15,22.66,8.65,384.4,3.18,15.44,89.23,1.63,2.55,0,0,0,284.55,83.72,133.74,3.02
2021,2,16,22.73,8.51,389.88,17.25,15.87,89.16,2.59,2.84,0,0,0,220.86,141.81,102.38,2.4
2021,2,17,22.59,7.69,376.22,1.34,15.87,89.19,2.59,2.97,0,0,0,283.12,153.52,131.12,2.92
2021,2,18,22.58,9.27,365.62,0.46,15.62,89.26,2.79,4.34,0,0,0,284.23,169.12,129.05,2.83
2021,2,19,23.05,12.02,366.78,0.4,14.83,89.34,3.2,6.01,0,0,0,285.94,151.71,130.93,2.95
2021,2,20,22.27,6.96,372.77,3.88,15.99,89.35,2.09,2.29,0,0,0,300.05,96.57,139.61,3.26
2021,2,21,22.37,7.35,386.47,3.56,15.5,89.3,1.85,3.76,0,0,0,242.21,146.26,112.73,2.91
2021,2,22,21.17,6.69,387.31,14.23,15.44,89.3,3.04,4.66,0,0,0,214.2,124.05,100.55,2.6
2021,2,23,20.6,6,391.91,3.52,15.44,89.29,2.69,2.65,0,0,0,179.8,125.29,84.57,2.11
2021,2,24,20.73,6.37,386.35,6.3,15.01,89.33,3.11,3.29,0,0,0,124.07,94.3,59.44,1.33
2021,2,25,21.25,7.86,374.04,8.46,15.01,89.3,1.32,3.15,0,0,0,286.69,85.3,133.84,2.98
2021,2,26,22.55,9.62,378.53,2.69,15.01,89.26,1.48,1.79,0,0,0,289.46,79.29,134.97,2.95
2021,2,27,21.7,6.18,383.12,8.56,14.89,89.26,1.34,2.3,0,0,0,181.6,129.17,85.09,2.07
2021,2,28,21.43,8.13,378.33,6.76,15.08,89.27,1.59,2.27,0,0,0,277.67,107,129.76,3.05
2021,3,1,20.87,6.76,391.17,4.02,15.01,89.33,1.8,1.68,0,0,0,123.84,92.02,60.1,1.55
2021,3,2,22.27,10.08,380.02,0.75,15.14,89.27,2.29,2.74,0,0,0,300.04,69.44,140.62,3.31
